日期,成交量
2015-09-04,19
2015-09-07,813
2015-09-08,774
2015-09-09,776
2015-09-10,870
2015-09-11,843
2015-09-14,975
2015-09-15,838
2015-09-16,726
2015-09-17,796
2015-09-18,876
2015-09-21,841
2015-09-22,782
2015-09-23,742
2015-09-24,795
2015-09-25,896
2015-09-28,921
2015-09-29,937
2015-09-30,1101
2015-10-01,14
2015-10-02,4
2015-10-05,9
2015-10-06,17
2015-10-07,46
2015-10-08,578
2015-10-09,667
2015-10-12,654
2015-10-13,654
2015-10-14,714
2015-10-15,763
2015-10-16,773
2015-10-19,779
2015-10-20,752
2015-10-21,643
2015-10-22,900
2015-10-23,942
2015-10-26,945
2015-10-27,872
2015-10-28,830
2015-10-29,833
2015-10-30,945
2015-11-02,695
2015-11-03,676
2015-11-04,684
2015-11-05,743
2015-11-09,970
2015-11-10,736
2015-11-11,746
2015-11-12,755
2015-11-13,891
2015-11-16,883
2015-11-17,812
2015-11-18,741
2015-11-19,800
2015-11-20,838
2015-11-23,908
2015-11-24,754
2015-11-25,753
2015-11-26,799
2015-11-27,945
2015-11-30,1350
2015-12-01,579
2015-12-02,709
2015-12-03,695
2015-12-04,927
2015-12-07,930
2015-12-08,883
2015-12-09,748
2015-12-10,841
2015-12-11,835
2015-12-15,901
2015-12-16,805
2015-12-17,970
2015-12-18,1036
2015-12-21,1157
2015-12-22,950
2015-12-23,985
2015-12-24,974
2015-12-25,1110
2015-12-28,1296
2015-12-29,1173
2015-12-30,1189
2015-12-31,1498
2016-01-01,20
2016-01-04,943
2016-01-05,1000
2016-01-06,1017
2016-01-07,1031
2016-01-08,1034
2016-01-11,1178
2016-01-12,1096
2016-01-13,1025
2016-01-14,1113
2016-01-15,1265
2016-01-18,1315
2016-01-19,1127
2016-01-20,1072
2016-01-21,1111
2016-01-22,1170
2016-01-25,1363
2016-01-26,911
2016-01-27,1191
2016-01-28,1132
2016-01-29,1253
2016-02-01,915
2016-02-02,890
2016-02-03,681
2016-02-04,495
2016-02-05,217
2016-02-15,951
2016-02-16,1265
2016-02-17,1198
2016-02-18,1167
2016-02-19,1015
2016-02-22,1036
2016-02-23,860
2016-02-24,779
2016-02-25,748
2016-02-26,860
2016-02-29,1280
2016-03-01,636
2016-03-02,699
2016-03-03,845
2016-03-04,987
2016-03-07,1058
2016-03-08,954
2016-03-09,1077
2016-03-10,1150
2016-03-11,1289
2016-03-14,1488
2016-03-15,1360
2016-03-16,1360
2016-03-17,1380
2016-03-18,1567
2016-03-21,1649
2016-03-22,1495
2016-03-23,1441
2016-03-24,1474
2016-03-25,1581
2016-03-28,1725
2016-03-29,1463
2016-03-30,1566
2016-03-31,2084
2016-04-01,1169
2016-04-04,89
2016-04-05,1179
2016-04-06,1152
2016-04-07,1251
2016-04-08,1221
2016-04-11,1431
2016-04-12,1232
2016-04-13,1338
2016-04-14,1286
2016-04-15,1156
2016-04-18,1503
2016-04-19,850
2016-04-20,1368
2016-04-21,1203
2016-04-22,1253
2016-04-25,1399
2016-04-26,1178
2016-04-27,1187
2016-04-28,1126
2016-04-29,1165
2016-05-02,38
2016-05-03,777
2016-05-04,918
2016-05-05,994
2016-05-06,958
2016-05-09,1053
2016-05-10,1030
2016-05-11,979
2016-05-12,1035
2016-05-13,1022
2016-05-16,1093
2016-05-17,992
2016-05-18,949
2016-05-19,995
2016-05-20,993
2016-05-23,1182
2016-05-24,943
2016-05-25,997
2016-05-26,1124
2016-05-27,1171
2016-05-30,1788
2016-05-31,1783
2016-06-01,298
2016-06-02,373
2016-06-03,503
2016-06-06,513
2016-06-07,417
2016-06-08,400
2016-06-09,19
2016-06-10,27
2016-06-13,328
2016-06-14,314
2016-06-15,339
2016-06-16,502
2016-06-17,708
2016-06-20,766
2016-06-21,743
2016-06-22,753
2016-06-23,760
2016-06-24,899
2016-06-27,975
2016-06-28,811
2016-06-29,1021
2016-06-30,1477
2016-07-01,715
2016-07-04,890
2016-07-05,792
2016-07-06,830
2016-07-07,938
2016-07-08,1002
2016-07-11,1123
2016-07-12,929
2016-07-13,1022
2016-07-14,1043
2016-07-15,1060
2016-07-18,1155
2016-07-19,1097
2016-07-20,879
2016-07-21,1111
2016-07-22,1154
2016-07-25,1102
2016-07-26,973
2016-07-27,990
2016-07-28,974
2016-07-29,1219
2016-08-01,796
2016-08-02,729
2016-08-03,763
2016-08-04,903
2016-08-05,1002
2016-08-08,1069
2016-08-09,886
2016-08-10,966
2016-08-11,1036
2016-08-12,1010
2016-08-15,1204
2016-08-16,946
2016-08-17,925
2016-08-18,1078
2016-08-19,1155
2016-08-22,940
2016-08-23,1102
2016-08-24,1086
2016-08-25,1192
2016-08-26,1289
2016-08-29,1446
2016-08-31,1782
2016-09-01,808
2016-09-02,1058
2016-09-05,1259
2016-09-06,933
2016-09-07,1225
2016-09-08,1189
2016-09-09,1300
2016-09-12,1471
2016-09-14,1309
2016-09-15,83
2016-09-16,58
2016-09-19,1371
2016-09-20,1312
2016-09-21,1352
2016-09-22,1389
2016-09-23,1439
2016-09-26,1566
2016-09-27,1542
2016-09-28,1443
2016-09-29,1809
2016-09-30,2927
2016-10-03,14
2016-10-04,11
2016-10-05,18
2016-10-06,18
2016-10-07,57
2016-10-10,912
2016-10-11,925
2016-10-12,1036
2016-10-13,1226
2016-10-14,1257
2016-10-17,1209
2016-10-18,1046
2016-10-19,1207
2016-10-20,1417
2016-10-21,725
2016-10-24,1272
2016-10-25,1153
2016-10-26,1075
2016-10-27,1005
2016-10-28,1079
2016-10-31,1479
2016-11-01,646
2016-11-02,850
2016-11-03,823
2016-11-04,897
2016-11-07,998
2016-11-08,864
2016-11-09,800
2016-11-10,795
2016-11-11,876
2016-11-14,937
2016-11-15,814
2016-11-16,795
2016-11-17,782
2016-11-18,891
2016-11-21,835
2016-11-22,704
2016-11-23,765
2016-11-24,518
2016-11-25,1046
2016-11-28,915
2016-11-29,791
2016-11-30,1314
2016-12-01,405
2016-12-02,582
2016-12-05,616
2016-12-06,629
2016-12-07,659
2016-12-08,734
2016-12-09,765
2016-12-12,900
2016-12-13,937
2016-12-14,1329
2016-12-15,471
2016-12-16,473
2016-12-19,642
2016-12-20,624
2016-12-21,574
2016-12-22,680
2016-12-23,711
2016-12-26,729
2016-12-27,767
2016-12-28,799
2016-12-29,963
2016-12-30,1456
2017-01-02,18
2017-01-03,366
2017-01-04,637
2017-01-05,914
2017-01-06,812
2017-01-09,638
2017-01-17,760
2017-01-18,976
2017-01-19,547
2017-01-20,1078
2017-01-23,882
2017-01-24,430
2017-01-25,190
2017-02-03,112
2017-02-06,694
2017-02-07,782
2017-02-08,785
2017-02-09,746
2017-02-10,716
2017-02-13,610
2017-02-14,503
2017-02-15,482
2017-02-16,543
2017-02-17,570
2017-02-20,594
2017-02-21,512
2017-02-22,497
2017-02-23,615
2017-02-24,697
2017-02-27,728
2017-03-01,524
2017-03-02,635
2017-03-03,818
2017-03-06,801
2017-03-07,736
2017-03-08,684
2017-03-09,881
2017-03-10,922
2017-03-13,1015
2017-03-14,911
2017-03-15,986
2017-03-16,1075
2017-03-17,1497
2017-03-20,834
2017-03-21,749
2017-03-22,892
2017-03-23,885
2017-03-24,1271
2017-03-27,1231
2017-03-28,1221
2017-03-29,1581
2017-03-30,1461
2017-03-31,2237
2017-04-03,80
2017-04-04,56
2017-04-05,634
2017-04-06,794
2017-04-07,825
2017-04-10,840
2017-04-11,808
2017-04-12,852
2017-04-13,892
2017-04-14,935
2017-04-17,762
2017-04-18,683
2017-04-19,750
2017-04-20,805
2017-04-21,869
2017-04-24,797
2017-04-26,611
2017-04-27,768
2017-04-28,1094
2017-05-01,10
2017-05-02,262
2017-05-03,400
2017-05-04,463
2017-05-05,564
2017-05-08,494
2017-05-09,533
2017-05-10,540
2017-05-11,525
2017-05-12,563
2017-05-15,257
2017-05-16,624
2017-05-17,589
2017-05-18,521
2017-05-19,576
2017-05-22,482
2017-05-23,463
2017-05-24,480
2017-05-25,511
2017-05-26,303
2017-05-29,37
2017-05-30,17
2017-05-31,565
2017-06-01,346
2017-06-02,378
2017-06-05,464
2017-06-06,389
2017-06-07,410
2017-06-08,405
2017-06-09,402
2017-06-12,406
2017-06-13,377
2017-06-14,389
2017-06-15,334
2017-06-16,443
2017-06-19,427
2017-06-20,386
2017-06-21,360
